Metric,Number of Chatbot Groups,Number of Response Domains,Total Domain-Level Observations,df_chatbot,df_domain,df_residual,F Statistic,p-value,Eta Squared,Partial Eta Squared,Included Chatbots,Included Response Domains,Interpretation
ROUGE Lexical Overlap,8,7,56,7,6,42,1.3613,0.24685,0.062,0.1849,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Current Suicidal Ideation', 'Risk Assessments', 'Nature of Thoughts, Plan, & Access to Means', 'Support System & Protective Factors', 'Safety Plan', 'Risk Re-Assessment', 'Other important assessment aspects']",No statistically significant chatbot-system effect at p < .05
METEOR Lexical-Semantic Alignment,8,7,56,7,6,42,3.9398,0.002176,0.1657,0.3964,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Current Suicidal Ideation', 'Risk Assessments', 'Nature of Thoughts, Plan, & Access to Means', 'Support System & Protective Factors', 'Safety Plan', 'Risk Re-Assessment', 'Other important assessment aspects']",Statistically significant chatbot-system effect (p < .05)
Negative Sentiment Probability,8,7,56,7,6,42,1.4956,0.19523,0.0545,0.1995,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Current Suicidal Ideation', 'Risk Assessments', 'Nature of Thoughts, Plan, & Access to Means', 'Support System & Protective Factors', 'Safety Plan', 'Risk Re-Assessment', 'Other important assessment aspects']",No statistically significant chatbot-system effect at p < .05
Flesch Reading Ease,8,7,56,7,6,42,4.7398,0.000544,0.1025,0.4413,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Current Suicidal Ideation', 'Risk Assessments', 'Nature of Thoughts, Plan, & Access to Means', 'Support System & Protective Factors', 'Safety Plan', 'Risk Re-Assessment', 'Other important assessment aspects']",Statistically significant chatbot-system effect (p < .05)
Non-Hateful Language Probability,8,7,56,7,6,42,0.7421,0.637823,0.0795,0.1101,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Current Suicidal Ideation', 'Risk Assessments', 'Nature of Thoughts, Plan, & Access to Means', 'Support System & Protective Factors', 'Safety Plan', 'Risk Re-Assessment', 'Other important assessment aspects']",No statistically significant chatbot-system effect at p < .05
Crisis-Response Reference Similarity,8,3,24,7,2,14,0.0537,0.999653,0.0152,0.0262,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Risk Assessments', 'Support System & Protective Factors', 'Other important assessment aspects']",No statistically significant chatbot-system effect at p < .05
Risk-Assessment Reference Similarity,8,3,24,7,2,14,1.2894,0.323738,0.09,0.392,"['ChatGPT-5.4', 'Claude', 'DeepSeek', 'Gemini', 'Hugging Chat', 'Llama-3', 'Mistral AI', 'Perplexity AI']","['Nature of Thoughts, Plan, & Access to Means', 'Safety Plan', 'Risk Re-Assessment']",No statistically significant chatbot-system effect at p < .05
